Ingredient,Possible Allergens
Wheat,Gluten Allergy/Wheat Allergy
Barley,Gluten Allergy
Rye,Gluten Allergy
Oats,Gluten Allergy/Oat Sensitivity
Rice,Rice Allergy
Corn,Corn Allergy
Quinoa,Pseudocereal Allergy
Buckwheat,Buckwheat Allergy
Amaranth,Pseudocereal Allergy
Millet,Grain Allergy
Spelt,Gluten Allergy
Bulgur,Gluten Allergy
Couscous,Gluten Allergy
Semolina,Gluten Allergy
Milk,Milk Allergy/Lactose Intolerance
Butter,Milk Allergy/Lactose Intolerance
Cheese,Milk Allergy/Lactose Intolerance
Cream,Milk Allergy/Lactose Intolerance
Yogurt,Milk Allergy/Lactose Intolerance
Ice Cream,Milk Allergy/Lactose Intolerance
Buttermilk,Milk Allergy/Lactose Intolerance
Whey,Milk Allergy/Lactose Intolerance
Casein,Milk Allergy
Ghee,Milk Allergy
Sour Cream,Milk Allergy/Lactose Intolerance
Kefir,Milk Allergy/Lactose Intolerance
Cottage Cheese,Milk Allergy/Lactose Intolerance
Ricotta,Milk Allergy/Lactose Intolerance
Almonds,Tree Nut Allergy
Walnuts,Tree Nut Allergy
Cashews,Tree Nut Allergy
Pistachios,Tree Nut Allergy
Hazelnuts,Tree Nut Allergy
Brazil Nuts,Tree Nut Allergy
Macadamia Nuts,Tree Nut Allergy
Pine Nuts,Tree Nut Allergy/Pine Nut Syndrome
Pecans,Tree Nut Allergy
Peanuts,Peanut Allergy
Sesame Seeds,Seed Allergy
Sunflower Seeds,Seed Allergy
Pumpkin Seeds,Seed Allergy
Flaxseeds,Seed Allergy
Chia Seeds,Seed Allergy
Hemp Seeds,Seed Allergy
Poppy Seeds,Seed Allergy
Soybeans,Soy Allergy
Lentils,Legume Allergy
Chickpeas,Legume Allergy
Black Beans,Legume Allergy
Kidney Beans,Legume Allergy
Lima Beans,Legume Allergy
Navy Beans,Legume Allergy
Pinto Beans,Legume Allergy
Green Peas,Legume Allergy
Green Beans,Legume Allergy
Edamame,Soy Allergy
Tofu,Soy Allergy
Tempeh,Soy Allergy
Miso,Soy Allergy
Apples,Oral Allergy Syndrome/FODMAP Sensitivity
Bananas,Latex-Fruit Syndrome/Banana Allergy
Strawberries,Salicylate Allergy/Berry Allergy
Blueberries,Salicylate Allergy/Berry Allergy
Oranges,Citrus Allergy
Lemons,Citrus Allergy
Limes,Citrus Allergy
Grapefruit,Citrus Allergy
Peaches,Stone Fruit Allergy/Oral Allergy Syndrome
Plums,Stone Fruit Allergy/Oral Allergy Syndrome
Cherries,Stone Fruit Allergy/Oral Allergy Syndrome
Apricots,Stone Fruit Allergy/Oral Allergy Syndrome
Pears,Oral Allergy Syndrome/FODMAP Sensitivity
Kiwi,Oral Allergy Syndrome/Latex-Fruit Syndrome
Mango,Urushiol Sensitivity/Oral Allergy Syndrome
Pineapple,Oral Allergy Syndrome/Bromelain Sensitivity
Avocado,Latex-Fruit Syndrome
Grapes,LTP Allergy/Sulfite Sensitivity
Watermelon,Oral Allergy Syndrome
Cantaloupe,Oral Allergy Syndrome
Honeydew,Oral Allergy Syndrome
Tomatoes,Nightshade Allergy/Oral Allergy Syndrome
Potatoes,Nightshade Allergy/Potato Allergy
Bell Peppers,Nightshade Allergy
Eggplant,Nightshade Allergy
Onions,Allium Allergy/FODMAP Sensitivity
Garlic,Allium Allergy/FODMAP Sensitivity
Carrots,Oral Allergy Syndrome
